Timestamp,Text
2021-04-14T22:29:18.000Z,美国国会相比总统，受众的满意度非常低，满意度一直在15%左右，不满意度高达75%左右。原因是国会本身就是不同声音嘈杂的平台，效率不高。国会里的两党之争、两院（参议院、众议院）之争，还有国会与总统之争，都导致效率低下。尤其遇到坡脚总统，府院之争的激烈导致国会更难顺利地办事。
2021-04-14T21:40:42.000Z,"快评：紧急实弹军演威胁美国访台团、环时叫嚣台军开第一枪就武统台湾、国台办说非官方访问是骗人幌子（4/14） https://youtu.be/DWWJaJiD8cM 中共宣布在台海进行两场军演威慑美访台。环时发文说已做好武统台湾时应对美国的准备，台军胆敢开第一枪就意味着国家统一时刻的来临。克里访华，会不会被中共搞掂？快评：中共紧急军演威胁访台美代表团、环时叫嚣台军开第一枪就武统台湾、国台办说非官方访问是骗人幌子（4/14）
点击此处，成为宝胜传媒会员！https://www.youtube.com/channel/UCcBXM1hhamn9Su_bEQ1lVzA/join全面制裁  Comprehensive sanctions彻底脱钩  Completely decouple军事打击  Military strike
youtube.com"
2021-04-14T21:04:21.000Z,"快评：紧急实弹军演威胁美国访台团、环时叫嚣台军开第一枪就武统台湾、国台办说非官方访问是骗人幌子（4/14） https://youtu.be/DWWJaJiD8cM via 
@YouTube快评：中共紧急军演威胁访台美代表团、环时叫嚣台军开第一枪就武统台湾、国台办说非官方访问是骗人幌子（4/14）
点击此处，成为宝胜传媒会员！https://www.youtube.com/channel/UCcBXM1hhamn9Su_bEQ1lVzA/join全面制裁  Comprehensive sanctions彻底脱钩  Completely decouple军事打击  Military strike
youtube.com"
2021-04-14T19:18:48.000Z,"快评：中共紧急军演威胁访台美代表团、环时叫嚣台军开第一枪就武统台湾、国台办说非官方访问是骗人幌子（4/14） https://youtu.be/DWWJaJiD8cM 拜登特使团刚到台湾，中共就宣布在台海进行两场军事演习。环球时报发文说已做好武统台湾时应对美国的准备，台军胆敢开第一枪就意味着国家统一时刻的来临Quote Tweet
美国之音中文网
@VOAChinese
 · Apr 14
拜登派代表团访台，中国将在台海展开实弹演习 https://voachinese.com/a/China-will-hold-live-fire-drill-as-US-delegation-stays-in-Taiwan-20210414/5853061.html… via @voachinese"
2021-04-14T19:18:30.000Z,"Replying to 
@VOAChinese快评：中共紧急军演威胁访台美代表团、环时叫嚣台军开第一枪就武统台湾、国台办说非官方访问是骗人幌子（4/14） https://youtu.be/DWWJaJiD8cM 拜登特使团刚到台湾，中共就宣布在台海进行两场军事演习。环球时报发文说已做好武统台湾时应对美国的准备，台军胆敢开第一枪就意味着国家统一时刻的来临。"
2021-04-14T18:01:10.000Z,"美国国家情报总监海恩斯今天在全球威胁听证会上强调中共是美国无与伦比的竞争对手和威胁，尤其中共具有区域侵略和网络攻击能力。FBI局长也作了听证。Quote Tweet
Reuters
@Reuters
 · Apr 14
U.S. spy chiefs warn of 'unparalleled' China threat in return to Congress https://reut.rs/3ge9aYq"
2021-04-14T16:53:18.000Z,钓到大鱼了！Liaoning big fish!
2021-04-14T16:42:14.000Z,"快评：中共紧急军演威胁访台美代表团、环时叫嚣台军开第一枪就武统台湾、国台办说非官方访问是骗人幌子（4/14 https://youtu.be/DWWJaJiD8cM 拜登特使团刚到台湾，中共就宣布在台海进行两场军事演习。环球时报发文说已做好武统台湾时应对美国的准备，台军胆敢开第一枪就意味着国家统一时刻的来临Quote Tweet
蘋果新聞網 Taiwan News
@TW_nextmedia
 · Apr 14
陶德訪台中國氣喊「嚴正交涉」　中國突宣布沿海實彈演習
#蘋果新聞網 #appledaily #appledailytw #台美關係 #ChrisDodd #中國 #演習
→→https://bit.ly/2PTgo9J"
2021-04-14T16:41:51.000Z,"Replying to 
@TW_nextmedia快评：中共紧急军演威胁访台美代表团、环时叫嚣台军开第一枪就武统台湾、国台办说非官方访问是骗人幌子（4/14） https://youtu.be/DWWJaJiD8cM 拜登特使团刚到台湾，中共就宣布在台海进行两场军事演习。环球时报发文说已做好武统台湾时应对美国的准备，台军胆敢开第一枪就意味着国家统一时刻的来临。"
2021-04-14T16:34:42.000Z,"Replying to 
@MOFA_Taiwan
 @SenChrisDodd
 and 
@StateDept快评：中共紧急军演威胁访台美代表团、环时叫嚣台军开第一枪就武统台湾、国台办说非官方访问是骗人幌子（4/14） https://youtu.be/DWWJaJiD8cM 拜登特使团刚到台湾，中共就宣布在台海进行两场军事演习。环球时报发文说已做好武统台湾时应对美国的准备，台军胆敢开第一枪就意味着国家统一时刻的来临。"
2021-04-14T16:34:30.000Z,"Replying to 
@VOAChinese快评：中共紧急军演威胁访台美代表团、环时叫嚣台军开第一枪就武统台湾、国台办说非官方访问是骗人幌子（4/14） https://youtu.be/DWWJaJiD8cM 拜登特使团刚到台湾，中共就宣布在台海进行两场军事演习。环球时报发文说已做好武统台湾时应对美国的准备，台军胆敢开第一枪就意味着国家统一时刻的来临。"
2021-04-14T16:34:18.000Z,"Replying to 
@VOAChinese快评：中共紧急军演威胁访台美代表团、环时叫嚣台军开第一枪就武统台湾、国台办说非官方访问是骗人幌子（4/14） https://youtu.be/DWWJaJiD8cM 拜登特使团刚到台湾，中共就宣布在台海进行两场军事演习。环球时报发文说已做好武统台湾时应对美国的准备，台军胆敢开第一枪就意味着国家统一时刻的来临。"
2021-04-14T16:33:17.000Z,"Replying to 
@RFI_Cn快评：中共紧急军演威胁访台美代表团、环时叫嚣台军开第一枪就武统台湾、国台办说非官方访问是骗人幌子（4/14） https://youtu.be/DWWJaJiD8cM 拜登特使团刚到台湾，中共就宣布在台海进行两场军事演习。环球时报发文说已做好武统台湾时应对美国的准备，台军胆敢开第一枪就意味着国家统一时刻的来临。"
2021-04-14T16:20:39.000Z,"快评：中共紧急军演威胁访台美代表团、环时叫嚣台军开第一枪就武统台湾、国台办说非官方访问是骗人幌子（4/14） https://youtu.be/DWWJaJiD8cM via 
@YouTube快评：中共紧急军演威胁访台美代表团、环时叫嚣台军开第一枪就武统台湾、国台办说非官方访问是骗人幌子（4/14）
点击此处，成为宝胜传媒会员！https://www.youtube.com/channel/UCcBXM1hhamn9Su_bEQ1lVzA/join全面制裁  Comprehensive sanctions彻底脱钩  Completely decouple军事打击  Military strike
youtube.com"
2021-04-14T13:38:56.000Z,"拜登政府派三位前任官员，显然是坚守非官方关系和一个中国政策，也是在目前局势下不刺激中共的表现。但就这样，也遭到战狼外交部的激烈反应。目前来看，外交上美台不会升级，美国派台湾官员会以卸任官员为主，但在军事上会大幅度地强化合作与援助。Quote Tweet
外交部 Ministry of Foreign Affairs, ROC (Taiwan)
@MOFA_Taiwan
 · Apr 14
Minister Wu greeted @SenChrisDodd & former @StateDept Deputy Secretaries Richard Armitage & James Steinberg upon arrival in #Taipei. The presence of the statesmen & friends of #Taiwan
 is a strong vote of #US
 confidence in the country & its freedom- & democracy-loving people."
2021-04-14T13:17:05.000Z,"Replying to 
@VOAChinese美情报机构报告将中国列为最大威胁、黑山老挝斯里兰卡等沦为中共附庸国、美日搞全球基建举多国之力与中共对抗（4/13）https://youtu.be/UwoB980xHbY 美加今日同时出国安报告，美国报告中将中国列为头号威胁，并列举事实。美中竞争与美苏竞争一样是全方位的，只有民主国家综合实力的全面提升才能击溃中共暴政"
2021-04-14T00:31:36.000Z,"Replying to 
@badiucao你这个畜生不如的垃圾，你来舔我左右上下都不配，你狂妄自大，实际是精神病一个，什么都不懂到处伤人，连五毛、粉红都不如，那天我碰上你，一定要狠狠扇你几个耳光。。垃圾"
2021-04-14T00:31:24.000Z,"Replying to 
@badiucao巴垃圾，你这个畜生不如的垃圾，你来舔我左右上下都不配，你狂妄自大，实际是精神病一个，什么都不懂到处伤人，连五毛、粉红都不如，那天我碰上你，一定要狠狠扇你几个耳光。。垃圾"
2021-04-14T00:30:51.000Z,"Replying to 
@badiucao你这个畜生不如的垃圾，你来舔我左右上下都不配，你狂妄自大，实际是精神病一个，什么都不懂到处伤人，连五毛、粉红都不如，那天我碰上你，一定要狠狠扇你几个耳光。。垃圾"
