Timestamp,Text
2021-04-14T22:02:22.000Z,"财经冷眼：美军进入乌克兰，拜登首战对决俄罗斯？美国对中国再放两大招！（20210414第502期） https://youtu.be/yVc6PYNrBaY 来自 
@YouTube财经冷眼：美军进入乌克兰，拜登首战对决俄罗斯？对中放两大招！
最新消息：冷眼和美国南方出版社合作，出版了新书《中国大萧条》。全书35万字，内容是从我2019年到2020年400多期节目文字稿中，挑选出来的70期讲稿，经过认真校对，汇编而成。大家有兴趣的可以购买！联系方式：邮箱：goodrick8964@gmail.com；脸书：https://www.facebook.co...
youtube.com"
2021-04-14T13:16:33.000Z,"财经冷眼：美军进入乌克兰，拜登首战对决俄罗斯？美国对中国再放两大招！（20210414第502期）财经冷眼：美军进入乌克兰，拜登首战对决俄罗斯？对中放两大招！
最新消息：冷眼和美国南方出版社合作，出版了新书《中国大萧条》。全书35万字，内容是从我2019年到2020年400多期节目文字稿中，挑选出来的70期讲稿，经过认真校对，汇编而成。大家有兴趣的可以购买！联系方式：邮箱：goodrick8964@gmail.com；脸书：https://www.facebook.co...
youtube.com"
2021-04-14T05:57:18.000Z,"财经冷眼： 两个大暴雷！中国为何开始限制投资黄金？阿里182亿天量罚款背后！（20210410第499期） https://youtu.be/NPweLazGdeg 来自 
@YouTube财经冷眼： 两个大暴雷！中国为何开始限制投资黄金？阿里182亿天量罚款背后！（20210410第499期）
最新消息：冷眼和美国南方出版社合作，出版了新书《中国大萧条》。全书35万字，内容是从我2019年到2020年400多期节目文字稿中，挑选出来的70期讲稿，经过认真校对，汇编而成。大家有兴趣的可以购买！联系方式：邮箱：goodrick8964@gmail.com；脸书：https://www.facebook.co...
youtube.com"
2021-04-14T05:55:49.000Z,"别人的核废水处理得比贵国自来水还干净！
有啥好抗议的？"
2021-04-14T05:46:44.000Z,"财经冷眼：今天！国务院紧急叫停强制接种，中国疫苗出什么事了？已被强行接种的人怎么办？这个战狼大使开始被驱逐！（20210412第501期） https://youtu.be/VX-fNv-N-1E 来自 
@YouTube财经冷眼：今天！国务院紧急叫停强制接种，中国疫苗出什么事了？这个战狼大使将被驱逐出境？（20210412第501期）
最新消息：冷眼和美国南方出版社合作，出版了新书《中国大萧条》。全书35万字，内容是从我2019年到2020年400多期节目文字稿中，挑选出来的70期讲稿，经过认真校对，汇编而成。大家有兴趣的可以购买！联系方式：邮箱：goodrick8964@gmail.com；脸书：https://www.facebook.co...
youtube.com"
2021-04-14T05:46:29.000Z,"财经冷眼：美军进入乌克兰，拜登首战对决俄罗斯？美国对中国再放两大招！（20210414第502期） https://youtu.be/yVc6PYNrBaY 来自 
@YouTube财经冷眼：美军进入乌克兰，拜登首战对决俄罗斯？对中放两大招！
最新消息：冷眼和美国南方出版社合作，出版了新书《中国大萧条》。全书35万字，内容是从我2019年到2020年400多期节目文字稿中，挑选出来的70期讲稿，经过认真校对，汇编而成。大家有兴趣的可以购买！联系方式：邮箱：goodrick8964@gmail.com；脸书：https://www.facebook.co...
youtube.com"
2021-04-14T05:46:01.000Z,"他说：中国政府每年给每个最贫困家庭投入5万美元不止,远超美国！
其实他自己也不信，他不傻，是坏，领导喜欢听什么他就说什么，拍马屁让人舒服是这厮的强项。说一些自己都不相信的鬼话，让人能够理解什么是＂衣冠禽兽”这个词。"
2021-04-14T05:44:00.000Z,这货在墙内的名声也臭了！
2021-04-14T05:42:50.000Z,"财经冷眼：今天！国务院紧急叫停强制接种，中国疫苗出什么事了？已被强行接种的人怎么办？这个战狼大使开始被驱逐！（20210412第501期） https://youtu.be/VX-fNv-N-1E 来自 
@YouTube财经冷眼：今天！国务院紧急叫停强制接种，中国疫苗出什么事了？这个战狼大使将被驱逐出境？（20210412第501期）
最新消息：冷眼和美国南方出版社合作，出版了新书《中国大萧条》。全书35万字，内容是从我2019年到2020年400多期节目文字稿中，挑选出来的70期讲稿，经过认真校对，汇编而成。大家有兴趣的可以购买！联系方式：邮箱：goodrick8964@gmail.com；脸书：https://www.facebook.co...
youtube.com"
2021-04-14T05:42:18.000Z,"财经冷眼：美军进入乌克兰，拜登首战对决俄罗斯？美国对中国再放两大招！（20210414第502期） https://youtu.be/yVc6PYNrBaY 来自 
@YouTube财经冷眼：美军进入乌克兰，拜登首战对决俄罗斯？对中放两大招！
最新消息：冷眼和美国南方出版社合作，出版了新书《中国大萧条》。全书35万字，内容是从我2019年到2020年400多期节目文字稿中，挑选出来的70期讲稿，经过认真校对，汇编而成。大家有兴趣的可以购买！联系方式：邮箱：goodrick8964@gmail.com；脸书：https://www.facebook.co...
youtube.com"
