Timestamp,Text
2021-04-13T20:28:03.000Z,"举报：中纪委快查，恐有回扣、洗钱等腐败隐情……
#RFA【黑山共和国坠中国一带一路陷阱 求助欧盟遭拒】 https://rfa.org/mandarin/yataibaodao/junshiwaijiao/cl-04132021135014.html…
黑山当年签下这笔10亿美元贷款时让外界跌破眼镜，因为光是中国路桥工程公司承担的一期建设，每公里成本高达2,000万欧元，先前有研究指出，此公路在经济上是不可能实现的。黑山共和国坠中国一带一路陷阱 求助欧盟遭拒
巴尔干半岛国家黑山（Montenegro）向北京贷款十亿美元兴建世界最昂贵的高速公路，然而公路还没完工却已经陷入债务危机，转而向欧洲联盟求援协助还款。欧盟4月12日断然拒绝了这项请求。
rfa.org"
2021-04-13T12:32:50.000Z,"乍一看，以为是“清朝网络空间”……
仔细一想不对，清朝没有网络，民间可以自由办报，妄议朝政。
是我搞错了……Quote Tweet
有来有去
@matao_
 · Apr 12
Replying to @zhanglifan
中共中央网信办4月9日表示，""为避免错误言论误导公众，维护清朗网络空间，营造建党百年良好舆论氛围""，网民可以通过热线等各渠道举报""恶意歪曲、诋毁、否定党史国史军史“等历史虚无主义言论. 这就要把老百姓煽火起来了"
2021-04-13T12:31:39.000Z,"Replying to 
@matao_乍一看，以为是“清朝网络空间”……
仔细一想不对，清朝虽没有网络，民间可以自由办报，妄议朝政。"
2021-04-13T12:18:34.000Z,"有这事？求证。Quote Tweet
@mirror0002
 · Apr 12
Replying to @zhanglifan
牆內各地已預約注射的社區近日都在突然改稱‘疫苗缺貨’所以暫停注射。 突然‘ 疫苗就缺貨’了？  死豬確實不跑開水燙，說一句真話比它們爬月亮還難，太噁心了"
2021-04-13T03:32:36.000Z,"Replying to 
@roadrunner168
 and 
@newqiyu已更正，特此鸣谢。"
2021-04-13T03:31:55.000Z,"Replying to 
@zhanglifan
 @zhuxie5678
 and 
@newqiyu【更正】网友指出笔误，上文“（博古）张闻天”应为“（洛甫）张闻天”；“延安整风把王明、博古都整掉了。”应为“延安整风把王明、博古都整掉了，随后（洛甫）张闻天也失去了总书记的名号。”
特此更正并鸣谢。"
2021-04-12T22:50:54.000Z,田近期多次公开评论香港事务，他上月曾于明报投稿指“中央决心打造的不是橡皮图章或忠诚的废物”，言论引来香港亲北京政客反感，港区人大代表叶国谦曾反驳，“用上这样的论述，可能别人也会觉得你是‘废柴学者’。”
2021-04-12T22:50:06.000Z,中共学者田飞龙再次炮轰香港的亲北京政客，称建制派内部出现“两面派”，指“两面派”同时拿国家和西方利益，也有人“欠缺能力，不思进取，不主动作为，不积极履行管治责任”，令香港社会运动走向更激烈方向。
2021-04-12T19:21:12.000Z,"赞曰：“忠诚不绝对，就是绝对不忠诚。”（李鸿忠的“揣摩学”还是很让主公受用的）
“镇反”尚在进行，“反右”又将来临，今后还有“对资改造”？
一锅（国）煮了“两制”，倒也痛快……Quote Tweet
自由亚洲电台
@RFA_Chinese
 · Apr 12
中共在香港的斗争停不下来。民主派基本上已被打压得溃不成军，北京同时开展另一个战场，清算传统的亲北京集团。

https://rfa.org/mandarin/Xinwen/wul0412b-04122021044255.html#.YHQq5O2cFMQ.twitter…"
2021-04-12T03:37:16.000Z,"《无依之地》获英国电影学院奖最佳影片奖  赵婷获最佳导演奖 https://voachinese.com/a/nomadland-wins-best-film-at-british-film-award/5849038.html… 来自 
@voachinese《无依之地》获英国电影学院奖最佳影片奖 赵婷获最佳导演奖
据路透社报道，描写美国经济衰退时期的电影《无依之地》(Nomadland)在周日的英国电影电视艺术学院奖（BAFTA awards）上大获成功，获得最佳影片奖。该片华裔导演赵婷获得最佳导演奖。女主角的扮演者弗朗西斯•麦克多曼（Frances McDormand）摘得最佳女主角奖。
voachinese.com"
2021-04-12T03:24:27.000Z,"Replying to 
@Prlw42AOYtv5VkG转发网文，其中谈到一种社会怪象。质问之前，要先看链接的原文，已标明未盖章，谁也没说这是正式官方文件。
这种问题别来问我。重申一遍，转发不代表转发者的观点。"
2021-04-12T00:32:11.000Z,"Replying to 
@Prlw42AOYtv5VkG1 老章有言在先，转发的内容不代表转发者的观点（截图）
2 链接原文已说明信件未盖公章，老章也在跟帖中加注了。
3 姑且不论信件出处如何，黑蒙鲁甘藏等多个欠发达省份的阿Sir，到浙省冻结账户劫富济贫，网上多有披露，乃客观存在之现实问题。"
2021-04-12T00:03:49.000Z,"#VOA【中国最高疾控官员承认中国产新冠疫苗保护率低】
https://voachinese.com/a/official-admits-chinese-vaccines-effectiveness-low-china-considers-mixing-vaccines-to-improve-efficacy-20210411/5848984.html…
高福说，中国疫苗的“保护率不是很高”，政府正在考虑混合使用利用不同技术生产的疫苗。
他说，“每个人都应该考虑到mRNA疫苗可以给人类带来的好处，”高福还说。“不能因为我们已经有了几种疫苗就忽视mRNA疫苗。”中国最高疾控官员承认中国产新冠疫苗保护率低
美联社、法新社报道，中国疾病控制中心主任高福星期六（4月10日）在四川成都的一次会议上说，中国疫苗的“保护率不是很高”，政府正在考虑混合使用利用不同技术生产的疫苗。
voachinese.com"
2021-04-11T22:52:10.000Z,"Replying to 
@ma_zhaozhong早就转过了。
这次又转，是重温我堂的优良传统……"
2021-04-11T14:48:50.000Z,"本推链接的原文有标注，落款：
义乌市公安局刑事侦查大队（未盖章）
（来源出处：义乌 果冻交流三群）"
2021-04-11T05:26:51.000Z,"#转【义乌警方致全国各地公安机关的一封信】
https://mp.weixin.qq.com/s/9jXI8pQXzw38eHX6D0Q6Mw…
“我们尊重各兄弟单位的执法活动，并承诺积极配合协助相关取证活动……但是，对于一些过度执法、选择性执法，义乌公安将不予支持，并将认为具有过错的情形，上报相关部门，由主办方承担相应执法活动的责任。”"
2021-04-10T23:52:08.000Z,"叹曰：这可怎么好？疫苗自己不会变，新冠病毒以多变应不变……
译文：以色列研究称南非变种可以“突破”辉瑞疫苗。Quote Tweet
Reuters
@Reuters
 · Apr 10
South African variant can 'break through' Pfizer vaccine, Israeli study says http://reut.rs/321lK4T"
2021-04-10T23:43:33.000Z,"https://youtu.be/hivWLOKGWsc
#视频【胡锦涛：人民选了我当主席 Hu Jintao:I Am Elected By Chinese People】
日本小学生问：""胡爷爷，你为什么想当主席？"" 胡锦涛答：""我本人没有想当主席，是全国人民选了我，让我当主席。我不应该辜负全国人民的期望，对不对？Quote Tweet
章立凡 Zhang Lifan
@zhanglifan
 · Apr 10
Replying to @blgoj
http://m.mzdlib.com/RjzzDetail.aspx?Id=3992…
陈云回答说「是的，毛主席每天吃一只鸡，这不是毛主席愿意的。毛主席希望和我们大家过一样的生活，但是同志们想想，毛主席的健康对中国革命多么重要！所以，毛主席不愿吃鸡，党中央的命令一定要毛主席吃鸡。和我们每一个革命同志一样，毛主席吃鸡也是一种革命任务。」"
2021-04-10T23:42:41.000Z,"Replying to 
@zhanglifan
 and 
@blgojhttps://youtu.be/hivWLOKGWsc
#视频【胡锦涛：人民选了我当主席 Hu Jintao:I Am Elected By Chinese People】
日本小学生问：""胡爷爷，你为什么想当主席？"" 胡锦涛答：""我本人没有想当主席，是全国人民选了我，让我当主席。我不应该辜负全国人民的期望，对不对？"
2021-04-10T23:37:23.000Z,"Replying to 
@Shuguang2019首相算是日本的“正国级”高干了吧？
看完这个视频，更坚定了誓死捍卫一堂砖症的决心……"
2021-04-10T13:36:37.000Z,"Replying to 
@carolin55914431
 and 
@m_wo8y改开之初，赵还在四川。"
2021-04-10T11:31:01.000Z,"Replying to 
@lijuxia20212020-01-23 武汉封城
2020-01-27 李克强到湖北武汉考察指导新型冠状病毒感染肺炎疫情防控工作
2020-03-10 习近平在湖北省考察新冠肺炎疫情防控工作"
2021-04-10T10:54:25.000Z,"Replying to 
@blgojhttp://m.mzdlib.com/RjzzDetail.aspx?Id=3992…
陈云回答说「是的，毛主席每天吃一只鸡，这不是毛主席愿意的。毛主席希望和我们大家过一样的生活，但是同志们想想，毛主席的健康对中国革命多么重要！所以，毛主席不愿吃鸡，党中央的命令一定要毛主席吃鸡。和我们每一个革命同志一样，毛主席吃鸡也是一种革命任务。」"
2021-04-10T08:35:09.000Z,"首相算是日本的“正国级”高干了吧？
看了这个视频，更加坚定了誓死捍卫一堂砖症的决心……Quote Tweet
曙光
@Shuguang2019
 · Apr 10
我们惊于日本首相退休待遇和百姓一样时，说明我们与文明渐行淅远"
2021-04-10T04:27:24.000Z,"Replying to 
@straysmallcat中南海的服务员？"
2021-04-10T04:17:58.000Z,"问曰：恭候传说中的1亿支进口疫苗？Quote Tweet
自由亚洲电台
@RFA_Chinese
 · Apr 9
”我们住的地方，村里的一把手村长和村书记，包括镇里的干部都不打，却要老百姓打，老百姓成 #小白鼠 啊，当官的吃的喝的有特供，#疫苗 给老百姓特供，不打还不行。我不知道他们（官员）背后有什么套路。”
https://rfa.org/mandarin/yataibaodao/huanjing/0409qla-04092021042335.html…"
2021-04-09T22:25:23.000Z,"Replying to 
@jiagendaocao
 and 
@Eurasch“瞻养”是后来特地舔加的，原先没有。"
2021-04-09T21:21:23.000Z,"批示：请CCTV砖家培训一下。The following media includes potentially sensitive content. Change settings
View"
2021-04-09T21:16:26.000Z,"Replying to 
@m_wo8y“学史崇德，学史力行”。"
2021-04-09T21:14:40.000Z,"学史崇德……Quote Tweet
楊錦麟
@m_wo8y
 · Apr 9
這兩幅習仲勳的油畫，究竟有什麼意味？"
2021-04-09T21:09:51.000Z,"笑曰：五毛话术。都来观察一下，有助于识别。
#RFA【五毛机器人定型测试|动物庄园】五毛机器人定型测试|动物庄园
洗地洗脑句型合集，五毛粉红培训必备 关键词：#五毛话术 #小粉红 #洗脑 #洗地 #自干五 #自我审查 #高级黑
rfa.org"
2021-04-09T14:36:27.000Z,"Replying to 
@FanJumin
 @YiChan11
 and 
@Jac_zh怕怕……"
2021-04-09T13:44:53.000Z,"Replying to 
@YiChan11
 and 
@Jac_zh北京市疾病预防控制中心统一印制：
《接种新型冠状病毒灭活疫苗知情同意书》
最后有一项：“本人已接受医学询问，同意医学建议。”（签字）"
2021-04-09T12:14:39.000Z,"https://p.dw.com/p/1J4JX?maca=zh-Twitter-sharing…
#DW【菲利普亲王去世：一生甘做妻子“伴驾”】
菲利普亲王陪伴女王走过七十多年。几十年来，他一直生活在其妻子的影子下。尽管如此，他一直都保持着自己独立的个性。菲利普亲王正是因其执拗、坦率的性格受到英国人爱戴。菲利普亲王去世：一生甘做妻子“伴驾”
英国女王伊丽莎白二世的丈夫菲利普亲王去世，享年99岁。我们在这里为您介绍菲利普亲王“伴驾”的一生。
dw.com"
2021-04-09T12:07:23.000Z,"根据推特官方账号""推特公共政策""（Twitter Public Policy）4月8日宣布，这款新的emoji表情符号是专门为""奶茶联盟""运动设计，包含了三款分别来自香港、泰国和台湾的奶茶颜色。只要在发推文时中输入繁体或简体中文#奶茶联盟，或是相应的英、泰、缅语关键词，表情符号就自动出现。Quote Tweet
Twitter Public Policy
@Policy
 · Apr 7
Today we are launching an emoji for the #MilkTeaAlliance
, an online solidarity alliance first started in April 2020 as a Twitter meme which has grown into a global pro-democracy movement led by activists and concerned citizens in 
 and around the world.
Show this thread"
2021-04-09T12:03:12.000Z,"https://p.dw.com/p/3rlQ7?maca=zh-Twitter-sharing…
#DW【声援民主运动 推特发布“奶茶联盟”专属表情符号】
奶茶联盟最早始于一名年轻泰国演员和中国民族主义网民之间的口水战。他被""小粉红""指责支持香港民主运动和台湾独立，后来泰国、香港和台湾的网友便组成了一个针对中国的""奶茶联盟""，因泰、港、台三地民众均喜欢奶茶。声援民主运动 推特发布“奶茶联盟”专属表情符号
最早由泰国、香港和台湾等地网友为反对北京而发起的“奶茶联盟”，在缅甸反对军政府的抗议运动中再度发展壮大。推特为纪念这项国际民主运动成立一周年，特地推出相关表情符号，并邀请全世界网友“端起一杯好茶，表达对奶茶联盟的爱与支持”。
dw.com"
2021-04-09T11:31:04.000Z,"【
弃市
】俄杂。Quote Tweet
Ansoo
@16tame
 · Apr 9
Replying to @zhanglifan
老子是带着塔来的！雷锋塔。

孽畜~！

收了你丫汉奸！

哈哈哈"
2021-04-09T11:26:50.000Z,"【
弃市
】五毛幼虫。Quote Tweet
前进中国
@dWFA4mSFrOtBLij
 · Apr 9
Replying to @zhanglifan @4aCCPfreeChina and 3 others
老章你还真不知耻来着。"
2021-04-09T09:17:57.000Z,"老话：不是不报，时候未到；时候一到，一切都报。
（我是到这里来喷杀五毛的）Quote Tweet
美国之音中文网
@VOAChinese
 · Apr 8
对关注中国人权议题的群体来说，瑞典人权活动人士彼得·达林是一个熟悉的名字。他所发起的人权组织“保护卫士”正在全球发起投诉央视的行动，并成功地让英国政府撤销了央视的落地执照。最近达林接受美国之音专访，谈到了他为何在全球范围瞄准央视。详细内容: https://bit.ly/39VKosc"
